,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,AFFGEOID,GEOID,NAME,NAMELSAD,LSAD,ALAND,AWATER,geometry
409,47,037,018804,3,1500000US470370188043,470370188043,3,Block Group 3,BG,1232238,0,"POLYGON ((-86.76884200000001 36.033102, -86.768372 36.040279, -86.762854 36.039713, -86.753766 36.039815, -86.75234399999999 36.04023, -86.75211899999999 36.037544, -86.754231 36.032889, -86.753373 36.031276, -86.757105 36.032234, -86.76103000000001 36.031825, -86.768739 36.032574, -86.76884200000001 36.033102))"
410,47,037,019007,1,1500000US470370190071,470370190071,1,Block Group 1,BG,1607378,0,"POLYGON ((-86.734515 36.090847, -86.729248 36.091079, -86.72644 36.092036, -86.72206799999999 36.095289, -86.71918700000001 36.09683, -86.71472 36.097486, -86.717547 36.094637, -86.720179 36.089321, -86.718919 36.089541, -86.717085 36.088565, -86.71841499999999 36.082736, -86.71793 36.080406, -86.723163 36.080382, -86.72631800000001 36.079608, -86.727913 36.084399, -86.728194 36.084837, -86.728414 36.085115, -86.730228 36.086877, -86.734515 36.090847))"
411,47,037,018412,2,1500000US470370184122,470370184122,2,Block Group 2,BG,922007,0,"POLYGON ((-86.938316 36.085294, -86.936955 36.086608, -86.935553 36.086255, -86.930702 36.081438, -86.928793 36.080921, -86.926506 36.078975, -86.926418 36.078785, -86.92594800000001 36.075959, -86.926275 36.073914, -86.933312 36.07378, -86.935309 36.074032, -86.935255 36.077704, -86.93589900000001 36.080019, -86.939436 36.084946, -86.938316 36.085294))"
412,47,037,010303,3,1500000US470370103033,470370103033,3,Block Group 3,BG,961661,0,"POLYGON ((-86.700158 36.317557, -86.695729 36.31788, -86.693518 36.320471, -86.690954 36.31961, -86.68847100000001 36.31949, -86.687408 36.318129, -86.688587 36.314594, -86.69010400000001 36.314134, -86.69007499999999 36.31102, -86.691743 36.308372, -86.694407 36.306847, -86.69459000000001 36.307666, -86.696479 36.310861, -86.698821 36.312446, -86.69910400000001 36.315355, -86.700158 36.317557))"
413,47,037,019105,4,1500000US470370191054,470370191054,4,Block Group 4,BG,532805,0,"POLYGON ((-86.731919 36.055091, -86.725329 36.054535, -86.72427999999999 36.052516, -86.724243 36.052045, -86.72444299999999 36.048737, -86.725064 36.046678, -86.73169300000001 36.048101, -86.731223 36.049675, -86.73199700000001 36.051392, -86.731919 36.055091))"
414,47,037,016600,3,1500000US470370166003,470370166003,3,Block Group 3,BG,796332,0,"POLYGON ((-86.82201999999999 36.145939, -86.82219600000001 36.147928, -86.812934 36.155108, -86.81206299999999 36.155294, -86.81234000000001 36.152942, -86.811204 36.15104, -86.808487 36.147442, -86.808635 36.146848, -86.809791 36.146271, -86.81144999999999 36.145499, -86.81326799999999 36.146251, -86.81508700000001 36.148628, -86.81629 36.148011, -86.816541 36.144008, -86.81836199999999 36.144054, -86.81997 36.14274, -86.82245500000001 36.143004, -86.82201999999999 36.145939))"
415,47,037,018404,2,1500000US470370184042,470370184042,2,Block Group 2,BG,766863,0,"POLYGON ((-86.926474 36.072708, -86.926275 36.073914, -86.923641 36.07399, -86.921976 36.074169, -86.920945 36.074458, -86.920692 36.071375, -86.916999 36.067311, -86.91692999999999 36.063136, -86.919568 36.062194, -86.92366800000001 36.062545, -86.923147 36.066497, -86.925753 36.067889, -86.926749 36.068933, -86.926474 36.072708))"
416,47,037,019105,3,1500000US470370191053,470370191053,3,Block Group 3,BG,257484,0,"POLYGON ((-86.72000800000001 36.049289, -86.713662 36.048801, -86.713262 36.045369, -86.71591100000001 36.045189, -86.720854 36.045728, -86.72000800000001 36.049289))"
417,47,037,019116,2,1500000US470370191162,470370191162,2,Block Group 2,BG,638490,0,"POLYGON ((-86.72631800000001 36.042899, -86.724965 36.044748, -86.722607 36.04564, -86.720854 36.045728, -86.71591100000001 36.045189, -86.713262 36.045369, -86.712945 36.04245, -86.718012 36.041979, -86.719219 36.040019, -86.721307 36.039387, -86.720696 36.037604, -86.723837 36.037884, -86.725934 36.042092, -86.726524 36.042309, -86.72631800000001 36.042899))"
418,47,037,010501,4,1500000US470370105014,470370105014,4,Block Group 4,BG,3550686,221912,"POLYGON ((-86.675434 36.263156, -86.66998599999999 36.266785, -86.66767299999999 36.267216, -86.665466 36.266583, -86.662037 36.263351, -86.66085 36.261111, -86.65304 36.255204, -86.649894 36.253883, -86.642627 36.248512, -86.64222100000001 36.247418, -86.645342 36.243386, -86.64912200000001 36.237742, -86.650009 36.236724, -86.65365300000001 36.240004, -86.658625 36.245351, -86.66110500000001 36.249596, -86.662718 36.251127, -86.666887 36.253796, -86.670528 36.256489, -86.673196 36.260483, -86.675434 36.263156))"
419,47,037,018412,3,1500000US470370184123,470370184123,3,Block Group 3,BG,1295517,0,"POLYGON ((-86.956227 36.081192, -86.950467 36.083979, -86.94459999999999 36.083567, -86.943068 36.085072, -86.939436 36.084946, -86.93589900000001 36.080019, -86.935255 36.077704, -86.935309 36.074032, -86.9404 36.075473, -86.94522000000001 36.07689, -86.952586 36.079112, -86.956227 36.081192))"
420,47,037,015805,1,1500000US470370158051,470370158051,1,Block Group 1,BG,385152,0,"POLYGON ((-86.707245 36.127202, -86.702032 36.127363, -86.70063 36.127291, -86.70031299999999 36.125505, -86.696259 36.125358, -86.696445 36.124307, -86.70005 36.124567, -86.704835 36.121822, -86.71109199999999 36.126708, -86.707245 36.127202))"
421,47,037,015805,2,1500000US470370158052,470370158052,2,Block Group 2,BG,422487,0,"POLYGON ((-86.704835 36.121822, -86.70005 36.124567, -86.696445 36.124307, -86.696971 36.120253, -86.69769700000001 36.119375, -86.700354 36.118328, -86.702609 36.117133, -86.704438 36.118849, -86.70359500000001 36.12083, -86.704835 36.121822))"
552,47,037,015622,1,1500000US470370156221,470370156221,1,Block Group 1,BG,2472161,0,"POLYGON ((-86.584881 36.172825, -86.582915 36.173493, -86.582635 36.176516, -86.582356 36.178969, -86.58183099999999 36.182578, -86.58238299999999 36.186277, -86.58147700000001 36.191358, -86.581947 36.191659, -86.579189 36.194294, -86.57562 36.194597, -86.57323599999999 36.184073, -86.57217199999999 36.179372, -86.57089000000001 36.173679, -86.570015 36.172212, -86.568106 36.169001, -86.56802 36.168859, -86.585354 36.169658, -86.584881 36.172825))"
553,47,037,010502,2,1500000US470370105022,470370105022,2,Block Group 2,BG,1518903,0,"POLYGON ((-86.645342 36.243386, -86.64222100000001 36.247418, -86.642627 36.248512, -86.641285 36.247492, -86.628468 36.237512, -86.626221 36.234859, -86.6259 36.23452, -86.629395 36.233834, -86.635682 36.233812, -86.63878800000001 36.235531, -86.638859 36.236972, -86.64912200000001 36.237742, -86.645342 36.243386))"
554,47,037,013800,1,1500000US470370138001,470370138001,1,Block Group 1,BG,327735,0,"POLYGON ((-86.814464 36.180214, -86.81184500000001 36.180112, -86.80993100000001 36.171062, -86.807427 36.171393, -86.80688600000001 36.170097, -86.81129 36.169483, -86.812763 36.169124, -86.814091 36.17053, -86.81244100000001 36.170739, -86.81367 36.176579, -86.813729 36.176698, -86.814464 36.180214))"
555,47,037,016500,1,1500000US470370165001,470370165001,1,Block Group 1,BG,428543,0,"POLYGON ((-86.811204 36.15104, -86.804136 36.154383, -86.80226 36.155304, -86.80155499999999 36.154353, -86.80083500000001 36.153399, -86.80271999999999 36.152479, -86.80122900000001 36.15049, -86.808635 36.146848, -86.808487 36.147442, -86.811204 36.15104))"
556,47,037,016400,1,1500000US470370164001,470370164001,1,Block Group 1,BG,601895,0,"POLYGON ((-86.79984899999999 36.144106, -86.79938799999999 36.147438, -86.79815000000001 36.147366, -86.79793600000001 36.148683, -86.797471 36.148901, -86.793482 36.148505, -86.792231 36.148384, -86.793138 36.143359, -86.79364200000001 36.140742, -86.795005 36.140936, -86.79657400000001 36.139076, -86.797349 36.13851, -86.800591 36.13884, -86.79984899999999 36.144106))"
557,47,037,016200,1,1500000US470370162001,470370162001,1,Block Group 1,BG,527547,8826,"POLYGON ((-86.784989 36.142102, -86.77686 36.141906, -86.77589999999999 36.139144, -86.77839 36.139221, -86.77912600000001 36.134285, -86.78060000000001 36.134281, -86.784885 36.134874, -86.78416900000001 36.138506, -86.786204 36.138651, -86.784989 36.142102))"
558,47,037,011300,3,1500000US470370113003,470370113003,3,Block Group 3,BG,1748439,0,"POLYGON ((-86.758015 36.202983, -86.75788 36.206367, -86.75704399999999 36.209555, -86.75001 36.210969, -86.74909100000001 36.210775, -86.739825 36.20973, -86.740821 36.209126, -86.742666 36.208203, -86.744237 36.207133, -86.746375 36.204388, -86.74882599999999 36.200471, -86.74985599999999 36.198878, -86.75146100000001 36.196536, -86.755099 36.193491, -86.759524 36.193886, -86.758015 36.202983))"
559,47,037,011002,2,1500000US470370110022,470370110022,2,Block Group 2,BG,2460147,0,"POLYGON ((-86.747494 36.218326, -86.746241 36.224725, -86.74762200000001 36.229716, -86.747659 36.230666, -86.73771499999999 36.22961, -86.731368 36.229633, -86.73441699999999 36.221599, -86.736981 36.214708, -86.738523 36.211039, -86.739825 36.20973, -86.74909100000001 36.210775, -86.747494 36.218326))"
560,47,037,011100,2,1500000US470370111002,470370111002,2,Block Group 2,BG,995332,0,"POLYGON ((-86.731368 36.229633, -86.72971800000001 36.234009, -86.728748 36.236529, -86.72486000000001 36.235001, -86.724802 36.232355, -86.725641 36.224112, -86.72582300000001 36.222815, -86.727478 36.219634, -86.73441699999999 36.221599, -86.731368 36.229633))"
561,47,037,018000,1,1500000US470370180001,470370180001,1,Block Group 1,BG,738854,0,"POLYGON ((-86.818866 36.123253, -86.81946499999999 36.123305, -86.81709499999999 36.126009, -86.81684300000001 36.128036, -86.816672 36.129353, -86.816625 36.12976, -86.81420900000001 36.126079, -86.812642 36.124633, -86.80673899999999 36.123216, -86.807513 36.121321, -86.808727 36.119668, -86.810023 36.117921, -86.81551399999999 36.118561, -86.815282 36.120141, -86.821392 36.120659, -86.818866 36.123253))"
562,47,037,014800,1,1500000US470370148001,470370148001,1,Block Group 1,BG,215341,0,"POLYGON ((-86.769481 36.151216, -86.768542 36.151623, -86.76428 36.153544, -86.762208 36.154542, -86.76159199999999 36.154709, -86.762474 36.148845, -86.769276 36.151148, -86.769481 36.151216))"
563,47,037,018201,1,1500000US470370182011,470370182011,1,Block Group 1,BG,1973830,0,"POLYGON ((-86.901325 36.127711, -86.89847899999999 36.130826, -86.89507999999999 36.134124, -86.885424 36.141372, -86.884998 36.141689, -86.884113 36.141457, -86.880563 36.139069, -86.88352399999999 36.136766, -86.885229 36.13579, -86.88351 36.131932, -86.88360400000001 36.130523, -86.88624299999999 36.124838, -86.88672800000001 36.121664, -86.889329 36.123724, -86.90119300000001 36.126649, -86.901325 36.127711))"
